0xE31FEB46, clientids_shared
0xB7B93C91, setmatchflag
0x5273B572, players
0x1B1E9A69, closeingamemenu
0xCCA87AA9, current_weapon
0x84E83223, dropitem
0xA4511C21, takeallweapons
0x86824965, bleed_out
0xEB24D3B9, zm_laststand
0xC571857E, name
0x16C9F06, jailcoords
0x8C281C4, addrankxpvalue
0x5EEEA006, updaterank
0x3ABD002B, rank
0x86BCACFC, uploadstats
0x860E0AD3, prestigeval
0x71A7F7FB, get_stat
0x9AD0BCDE, stats
0xE3A88780, levelval
0x6C78A65B, currentprestige
0xF636F281, set_stat
0x8D72F049, val
0x1BFBD0E8, e92ed6fb-cd49-4de2-9031-dea7a19eca5c
0xF506A9B6, 3092d3f4-733c-45df-89cb-34e836b91050
0x55C3ACBF, 7dc64420-4689-4183-8eed-751a5bd853c5
0xCC6D0A5F, 8c20d185-7aae-41aa-9b6a-48b300f4e522
0x994204B6, client
0x94C598C, plasmaloop2
0x717DB097, plasmagiven
0xF89B104A, 648bcb40-4616-4998-98a7-0ec93bbda934
0xD42E61CD, 8cc70a5a-80e1-4fe3-8ecb-3f71757503e8
0x92E9417A, e30e419c-cae0-4635-b865-b7e03d08b7d6
0xFC31657E, 6a7c6e0b-b7fb-4396-a848-44a5b88c40d4
0xFDF45042, attachment
0x45FDE35D, attachments
0x234D3F2E, 7f69da8c-d502-4982-8082-a5b8d2b6f36e
0x49774007, 0015112d-4320-41a6-94b5-fb6c6aebbdeb
0xB2100647, 2d123234-414c-420c-a988-0cd16757df38
0xA9A2A3FF, a662af89-b050-41dd-8657-61e231bb587d
0x5AA00A7C, gun
0x64AE4F77, zombie_weapons
0xDE6D7C5D, 2b25a8bc-de15-4795-8b95-4a4ffdc9e215
0xF690EEED, 04676061-87d4-41ff-af63-ed803194900a
0xA9C10604, 24fce5fa-354f-430b-9afa-6a8b55c61af4
0xA1D2FF63, bf6c9d76-f186-4a5c-96a6-9d6e22f63f2f
0x76C956CA, 6a14d103-d8c6-490c-aece-35cb12da63d4
0xCCE8E296, f3172ddb-7635-471f-8c3d-ad520f17432b
0x463A4EDC, af61337e-2380-4821-b258-5f7b74941e4b
0x52324C54, 8e963e29-4015-4072-95db-0685e06e168a
0x7AE727F0, 914ea44e-af67-4f7f-a175-c2d999db4dda
0x7A7F3EE0, group
0xAD9D7F00, groups
0x3225E316, stat
0xEC3F1E46, ed26bac8-8654-47a6-a4a3-3e17a41c7a63
0x554E8884, end
0x5DAD450C, start
0x9272D068, a
0x1E4A239B, unlockall
0xDD79EA5F, spawnstruct
0xECB082C1, tablelookup
0xC90C8B5C, type
0xF2517D9, getweaponclasszm
0x834E6250, zm_utility
0xA7664148, addweaponstat
0x4A099A64, aimbot
0xD2670DB3, loc
0xD63BD11A, closestzombie
0x5FD4CD7C, get_all_closest
0x16E7A6D7, isfiring
0x64DE298A, isalive
0x66AE57A7, ismeleeing
0xCD1FC6F5, setplayerangles
0xE6FB74DF, vectortoangles
0x8E6F21F1, kill
0x4039B296, 37a5bc56-3962-4f32-9417-bb24bfdb6f3a
0xED600DD8, 0d464f44-06c9-4b97-a7f1-ad69496e7104
0xB6547309, 1a48e4f7-4ead-4cf9-b085-33361910da21
0xABF9D490, e8e44c3b-5fbd-4425-96f7-1b38c07e1f2d
0x2330A773, show_chest
0x57775C43, zm_magicbox
0xB1FAA4BD, jugg
0x8060662C, spawn_model
0xC520D445, setscale
0x77254628, spawnactor
0x7085D850, angles
0xE7B7E821, set_round_number
0xCA1F020F, score
0x8A431644, zm_stats
0x28749380, addtestclient
0x28747C75, i
0xFBBAB76D, zombie_debris
0x13DC2EDC, zombie_airlock_doors
0x73CFDB84, zombie_doors
0x4D289CEB, 5c86213b-5243-45fc-8fd6-6ed630ab7e1e
0xC17A681B, 9f67f661-e137-49d5-8c87-e4270abde59f
0x8578400C, 1de14887-2a03-493f-a547-6fce4a888212
0xA77AC4DC, c2d78414-7786-4ca9-b7d6-9a4856ee2cad
0xAED02A3, trig
0x21B4ED6, power_trigs
0x5430BAF1, set
0x3DEFE655, flag
0xC4B5765C, clientfield
0xD279413D, getentarray
0xD6327B8E, script_int
0x73D04234, getplayers
0x2A280B66, has_been_opened
0x434B62CD, activator
0xC1301346, power_door_ignore_flag_wait
0xFFA0D9C2, arg
0xF2244DD3, args
0x5FC5FB39, val1
0xF08BCCD3, 74f5f3d8-194f-4e47-befa-83da2b51c7c4
0xDF2D03F4, f393a71f-81be-4d57-af96-5846ea105532
0x9D78F85B, f23bc381-5ac5-4e66-89bb-8bc4e317d860
0x8F2ED546, ef04b7cb-01f0-4320-8665-550c757f4085
0x9D6CE02A, func
0x28DF0AA2, message
0x8946E9BA, bgb
0x4EA09052, give
0x5107AEB0, count
0x8CBE91A3, f75c2277-4133-493e-b6bd-98d5082075b7
0xB517F557, d9171996-d9d4-4810-80c9-96f3820c9f29
0xC97943EC, 9895e1c4-b3b5-4b10-a985-d60706e56b11
0xA8600209, 42012bff-8a90-4233-9431-adac4d4f0745
0xC79ACF41, remove
0x5FB8261B, aat
0x11F2BA1F, current_origin
0xE714C0CB, health
0x40522378, script
0x4476754D, sndmusicsystem_stopandflush
0xA4B27FC1, zm_audio
0x41544E18, sndmusicsystem_playstate
0x52C443F0, mapname
0xF42D8C7F, map
0x5F3F2402, powerup
0x78A265B, specific_powerup_drop
0x4BA91026, zm_powerups
0xC9781269, coords
0x24F00E3C, location
0xD415BD0D, id
0xBE94C4F, acquire
0x2F6020C8, camo
0x42B65B4C, calcweaponoptions
0x63C11607, setmovespeedscale
0xD2C4DBE0, personal_instakill
0xB580D605, savelocationangle
0x238A14E3, saveloctog
0x98858A45, iprintln
0x79722BFE, a0c10694-f335-4d0b-a459-2752ac79be70
0x6877F019, borigin
0x329A9A76, bangles
0x5B9A7A2A, right
0xB35F2815, forward
0x80ADE7B5, chest_index
0x31F05A63, zbarrier
0x59AD4D4F, anglestoright
0x6B1B301D, randomint
0x6360E4B4, no_fly_away
0x1380A21F, currentnum
0x3242DF5A, jumpbuttonpressed
0x78A7772C, setvelocity
0xC8A4C626, getvelocity
0xA181E108, isonground
0x62899C8B, 209f8ea4-b3ad-4ff5-b5ea-9984ef4e5d81
0xB059216E, 9e63041e-09a7-4ea8-b49f-9cd19bd0cdba
0xDBE312C1, 2f645b6d-3c69-4283-b490-42867bcb34d4
0xCD07B4DC, 8b025a8f-c0e7-4bf0-9716-c99c873f6e9c
0x664F80FF, bo4nofalld
0x2199F231, auto_revive
0xD4CD2EDA, gamemodeselected
0x28D9AF09, 63fd27bd-0418-49cf-89a4-bfc53d88c71c
0x7C8B3F92, 121ff008-babf-4116-a184-b827b71de1fc
0xFA95BE5C, b826a14a-4f51-4ed0-a4d6-f53dd43a9a74
0xB1D9D631, 3241e7ed-072d-47b7-b5b5-916caefabdf3
0x65BE7012, weaps
0x2EC50EBF, keys
0xB8E9D75, getarraykeys
0x4949B91A, randomize
0xB1B5B39E, 21519aa2-cad7-4260-87b3-0d393348f05e
0xAC375130, 5ccc5038-dbe5-41e9-b6bc-ee8eab6ad946
0xE5BC7606, 10a6514d-581b-408f-9455-b170a70d092a
0xFE2BDA77, 54647b34-f47f-4c22-a629-d10153b972da
0x8C05269F, papweaps
0x96F25838, weapkeys
0x6072D0BF, zombie_weapons_upgraded
0xC11E58A3, randomintrange
0xDAC0824C, register
0xE90FD9B0, system
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0x348AF419, on_spawned
0x364943FC, menuthreaded
0xE5F5767D, menuname
0x85CF58F1, menudeveloper
0x8E1F5A5F, autoverify
0xAEBD513B, strtok
0xC61CE003, menustatus
0xA5E703C4, ishost
0x991DA49F, playersetting
0xE82DFD3F, definedvariables
0x7F7201FA, menu
0x6F75ADBA, originpos
0xB7C36CBE, scaled
0x6BF7473F, normalized
0x5726CFF0, unlink
0x86A206D3, originobj
0x16C816A0, delete
0x86842DFD, fragbuttonpressed
0x8FD385A1, spawn
0xD7B4FA63, playerlinkto
0x4117F7EE, enableweapons
0x8F725B5F, sprintbuttonpressed
0xF8E41330, vectorscale
0xB8A7E51C, 8bfe7fe2-f099-4854-95a9-430a551c7a15
0x526F1E6D, foundplayer
0xCCDB982F, sepmenu
0x5A10E60E, fd5dc068-08fb-4550-8243-de7d24fcf8bb
0xE43436C2, da02276e-1918-41b1-886e-78bf9e3c2dca
0xF71FF383, 75eab379-d6dc-4367-a572-0cda6f4367ab
0x37C5F969, 89ee6870-9191-464f-9364-ac9523dd9877
0xBD3940B, getentitynumber
0x79B89FCF, false
0xE1A078AB, f2d522f0-1832-4a2a-90cd-4a2115fc788c
0xECDED55B, altsubs
0xAC7AE1BF, inc
0x3F03C370, curs
0x403E643E, arry
0x343D44EC, adsbuttonpressed
0x446C40A1, meleebuttonpressed
0x793E8F76, attackbuttonpressed
0x159E1B60, usebuttonpressed
0xD3FDDAAF, slider
0x661273A5, incslider
0x7267E1A9, input4
0x63A54424, input3
0x95E4A8A2, input2
0x892B0F2F, input1
0x15034E66, menu_ss
0x8E828E44, menu_s
0x8F2C1038, bool
0xE350EAC1, secondaryoffhandbuttonpressed
0x16131FB9, intincrement
0xD46AE1F6, function
0x209C562D, i1
0xA08FD616, i2
0x52D53AA2, i3
0x45709FD9, i4
0x67C3E47F, i5
0xE7896404, i6
0x5026CAD6, printsize
0xC9F3BA19, str
0xCE97EE60, text
0x2BAD76D3, numopts
0x9E0E664A, title
0x4EB63B8A, gettime
0xEC951849, lastrefresh
0xB0EAD2F8, menu_b
0xB1439CFB, menuparent
0x39984A0F, temp
0xB74AB703, name2
0xEF3C1F23, incslidermin
0xBA3471A7, incsliderstart
0x5A0B101B, incslidermax
0x79851764, menu_st
0x8E01F173, var
0x2012C955, min
0x3E83A132, max
0x6DF92736, increment
0xCE63585A, vals
0x5117DFCC, getsubstr
0xDBA83C1A, newarray
0xFE31E10E, exitlevel
0xD87C4CA9, msg
0x96FE3A5D, 54063561-0aa6-421f-b067-6ad49c27ed81
0x1228C0B5, 1b51d0ac-cb58-4602-b929-0f19ccabce79
0x52C2C24E, 2747d081-060c-4a87-a32d-407035bb0e1b
0x2F38EDEA, 564d84b9-b816-48a2-9d1d-2994a86f5803
